Date,Keterangan,ID,Sumber,Pengeluaran,Pemasukan,Status/Potensi,Link,Margin,Total Pengeluaran,Total Pemasukan,Potensi Pemasukan
2023-01-25 00:00:00,Patung kayu gurita 85x32x26 (jyo),INV/20230117/MPL/2983279798,tokped,500000,,uang masuk,,,,,
2023-01-25 00:00:00,Patung kayu gurita 85x32x26 refund,INV/20230117/MPL/2983279798,,700000,,,,,,,
2023-01-25 00:00:00,Patung Ganesha  33x22x12 cm,INV/20230114/MPL/2975779882,tokped,650000,,uang masuk,"1,105,000.00",,,,
2023-01-25 00:00:00,Logo custom 2 kg level 8,INV/20230103/MPL/2948144687,tokped,528000,,uang masuk,"900,000.00",,,,
2023-01-25 00:00:00,patung kayu cili pasang,INV/20230125/MPL/2998520615,tokped,500000,,uang masuk,"850,000.00",,,,
2023-01-25 00:00:00,gajah mada,INV/20221226/MPL/2928389232,tokped,500000,,marketplace,uang masuk,"750,000.00",0.3333333333,,
2023-01-25 00:00:00,"custom 2kg, level 5 / inter milan ( jyo)",INV/20221224/MPL/2924244399,tokped,300000,,marketplace,"450,000.00",,,,
2023-01-25 00:00:00,logo liverpool 40 cm,INV/20230105/MPL/2954298606,tokped,280000,,uang masuk,"446,000.00",,,,
2023-01-25 00:00:00,"2x ukiran bali hiasan dinding motif bunga 2, 30 cm",INV/20230114/MPL/2975336469,tokped,240000,,uang masuk,"408,000.00",,,,
2023-01-25 00:00:00,"2x ukiran bali hiasan dinding  om 1, 30 cm",2301137U95SXHR,shopee,240000,,uang masuk,"408,000.00",,,,
2023-01-25 00:00:00,naga 25 cm x2,INV/20221230/MPL/2939094615,tokped,240000,,marketplace,uang masuk,"360,000.00",0.3333333333,,
2023-01-25 00:00:00,hiasan dinding 40 cm,INV/20221231/MPL/2941121666,tokped,160000,,marketplace,uang masuk,"300,000.00",0.4666666667,,
2023-01-25 00:00:00,patung kayu naga bir,230114ASVGWUS2,shopee,150000,,uang masuk,"270,000.00",,,,
2023-01-25 00:00:00,Patung kayu bebek 26cmx16x10cm,INV/20230103/MPL/2948566751,tokped,88000,,uang masuk,"150,000.00",,,,